datetime,field,away,awayScore,home,homeScore
2018-05-23T18:00:00,Lit,Overnight Sensations,,Stormy Danielas,
2018-05-23T19:00:00,Lit,Aquaholics,,Green Monsters,
2018-05-23T20:00:00,Lit,Oscar Meyer Winners,,BlueGenes,
2018-05-23T18:00:00,Unlit,Back that Ash Up,,Natty Ice 2.0,
2018-05-23T19:00:00,Unlit,illumiNuggets,,Stolen Base Pairs,
2018-05-30T18:00:00,Lit,Purps on the Run,,White Fang,
2018-05-30T19:00:00,Lit,Grapes of McGrath,,The Red Stripes,
2018-05-30T20:00:00,Lit,Bad Mother Southers,,Pitches be Crazy,
2018-05-30T18:00:00,Unlit,White Walkers,,Thunder Buddies,
2018-05-30T19:00:00,Unlit,Red Pandas,,Banana Ballers,
2018-06-04T18:00:00,Lit,White Fang,,Aquaholics,
2018-06-04T19:00:00,Lit,illumiNuggets,,White Walkers,
2018-06-04T20:00:00,Lit,Natty Ice 2.0,,Bad Mother Southers,
2018-06-04T18:00:00,Unlit,The Red Stripes,,Oscar Meyer Winners,
2018-06-04T19:00:00,Unlit,Green Monsters,,Banana Ballers,
2018-06-06T18:00:00,Lit,Stormy Danielas,,Grapes of McGrath,
2018-06-06T19:00:00,Lit,Back that Ash Up,,Red Pandas,
2018-06-06T20:00:00,Lit,Stolen Base Pairs,,Overnight Sensations,
2018-06-06T18:00:00,Unlit,Pitches be Crazy,,Purps on the Run,
2018-06-06T19:00:00,Unlit,BlueGenes,,Thunder Buddies,
2018-06-11T18:00:00,Lit,Thunder Buddies,,The Red Stripes,
2018-06-11T19:00:00,Lit,Purps on the Run,,Natty Ice 2.0,
2018-06-11T20:00:00,Lit,Banana Ballers,,White Fang,
2018-06-11T18:00:00,Unlit,Aquaholics,,Pitches be Crazy,
2018-06-11T19:00:00,Unlit,White Walkers,,BlueGenes,
2018-06-13T18:00:00,Lit,Bad Mother Southers,,Back that Ash Up,
2018-06-13T19:00:00,Lit,Overnight Sensations,,illumiNuggets,
2018-06-13T20:00:00,Lit,Grapes of McGrath,,Stolen Base Pairs,
2018-06-13T18:00:00,Unlit,Oscar Meyer Winners,,Stormy Danielas,
2018-06-13T19:00:00,Unlit,Red Pandas,,Green Monsters,
2018-06-18T18:00:00,Lit,Bad Mother Southers,,Red Pandas,
2018-06-18T19:00:00,Lit,Stormy Danielas,,Thunder Buddies,
2018-06-18T20:00:00,Lit,The Red Stripes,,BlueGenes,
2018-06-18T18:00:00,Unlit,Overnight Sensations,,White Walkers,
2018-06-18T19:00:00,Unlit,Back that Ash Up,,Purps on the Run,
2018-06-20T18:00:00,Lit,Stolen Base Pairs,,Oscar Meyer Winners,
2018-06-20T19:00:00,Lit,Pitches be Crazy,,Banana Ballers,
2018-06-20T20:00:00,Lit,White Fang,,Green Monsters,
2018-06-20T18:00:00,Unlit,Natty Ice 2.0,,Aquaholics,
2018-06-20T19:00:00,Unlit,illumiNuggets,,Grapes of McGrath,
2018-06-25T18:00:00,Lit,White Walkers,,The Red Stripes,
2018-06-25T19:00:00,Lit,Green Monsters,,Pitches be Crazy,
2018-06-25T20:00:00,Lit,Oscar Meyer Winners,,illumiNuggets,
2018-06-25T18:00:00,Unlit,Grapes of McGrath,,Overnight Sensations,
2018-06-25T19:00:00,Unlit,Thunder Buddies,,Stolen Base Pairs,
2018-06-27T18:00:00,Lit,Banana Ballers,,Natty Ice 2.0,
2018-06-27T19:00:00,Lit,BlueGenes,,Stormy Danielas,
2018-06-27T20:00:00,Lit,Aquaholics,,Back that Ash Up,
2018-06-27T18:00:00,Unlit,Red Pandas,,White Fang,
2018-06-27T19:00:00,Unlit,Purps on the Run,,Bad Mother Southers,
2018-07-09T18:00:00,Lit,TBD,,TBD,
2018-07-09T19:00:00,Lit,TBD,,TBD,
2018-07-09T20:00:00,Lit,TBD,,TBD,
2018-07-09T18:00:00,Unlit,TBD,,TBD,
2018-07-09T19:00:00,Unlit,TBD,,TBD,
2018-07-11T18:00:00,Lit,TBD,,TBD,
2018-07-11T19:00:00,Lit,TBD,,TBD,
2018-07-11T20:00:00,Lit,TBD,,TBD,
2018-07-11T18:00:00,Unlit,TBD,,TBD,
2018-07-11T19:00:00,Unlit,TBD,,TBD,
2018-07-16T18:00:00,Lit,Back that Ash Up,,Banana Ballers,
2018-07-16T19:00:00,Lit,Bad Mother Southers,,Aquaholics,
2018-07-16T20:00:00,Lit,illumiNuggets,,Thunder Buddies,
2018-07-16T18:00:00,Unlit,Stolen Base Pairs,,BlueGenes,
2018-07-16T19:00:00,Unlit,Overnight Sensations,,Oscar Meyer Winners,
2018-07-18T18:00:00,Lit,Grapes of McGrath,,White Walkers,
2018-07-18T19:00:00,Lit,Stormy Danielas,,The Red Stripes,
2018-07-18T20:00:00,Lit,Purps on the Run,,Red Pandas,
2018-07-18T18:00:00,Unlit,Natty Ice 2.0,,Green Monsters,
2018-07-18T19:00:00,Unlit,Pitches be Crazy,,White Fang,
2018-07-23T18:00:00,Lit,Red Pandas,,Pitches be Crazy,
2018-07-23T19:00:00,Lit,White Fang,,Natty Ice 2.0,
2018-07-23T20:00:00,Lit,Green Monsters,,Back that Ash Up,
2018-07-23T18:00:00,Unlit,Oscar Meyer Winners,,Grapes of McGrath,
2018-07-23T19:00:00,Unlit,Aquaholics,,Purps on the Run,
2018-07-25T18:00:00,Lit,BlueGenes,,illumiNuggets,
2018-07-25T19:00:00,Lit,The Red Stripes,,Stolen Base Pairs,
2018-07-25T20:00:00,Lit,White Walkers,,Stormy Danielas,
2018-07-25T18:00:00,Unlit,Banana Ballers,,Bad Mother Southers,
